country,first,last,change
Occupied Palestinian Territory,0.958,0.584,-0.374
Algeria,0.917,0.836,-0.08100000000000007
Haiti,0.628,0.5770000000000001,-0.050999999999999934
Zimbabwe,0.7959999999999999,0.769,-0.026999999999999913
Dominican Republic,0.871,0.847,-0.02400000000000002
Micronesia (Federated States of),0.91,0.89,-0.020000000000000018
Kazakhstan,0.941,0.929,-0.0119999999999999
Niue,0.992,0.985,-0.007000000000000006
Bulgaria,0.9990000000000001,0.9940000000000001,-0.0050000000000000044
Democratic People's Republic of Korea,1.0,0.997,-0.0030000000000000027
