country,dependency,tot_renew,renew_pc
Kuwait,100.0,0.02,5.138999999999999
United Arab Emirates,0.0,0.15,16.38
Qatar,3.448,0.057999999999999996,25.95
Saudi Arabia,0.0,2.4,76.09
Yemen,0.0,2.1,78.26
Maldives,0.0,0.03,82.49
Bahrain,96.55,0.11599999999999999,84.24
Singapore,0.0,0.6,107.1
Libya,0.0,0.7,111.5
Malta,0.0,0.0505,120.6
Jordan,27.21,0.937,123.4
Occupied Palestinian Territory,2.987,0.8370000000000001,179.3
Israel,57.87,1.78,220.7
Barbados,0.0,0.08,281.5
Algeria,3.5989999999999998,11.67,294.2
